Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Baby/Toddler clothing features (product.metafields.shopify.baby-toddler-clothing-features),Baby/Toddler sleepwear style (product.metafields.shopify.baby-toddler-sleepwear-style),Care instructions (product.metafields.shopify.care-instructions),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Intimate apparel features (product.metafields.shopify.intimate-apparel-features),Neckline (product.metafields.shopify.neckline),One-piece style (product.metafields.shopify.one-piece-style),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Status
dad-me-red-white-2-piece-summer-set,,,,,,,,,3-4-years,,,,,,,,'10721140,0.5,shopify,98,deny,manual,999.00,,true,false,,,,,'10721140,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/5_42.webp?v=1771244971,5,Dad Me Red White 2 Piece Summer Set - front view - unisex wear Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/4_43.webp?v=1771244225,g,,,,,,
dad-me-red-white-2-piece-summer-set,,,,,,,,,4-5-years,,,,,,,,'10721141,0.5,shopify,98,deny,manual,999.00,,true,false,,,,,'10721141,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/ChatGPT_Image_Mar_2_2026_08_02_23_PM.webp?v=1774966131,6,Yellow Grey Kids Short Sleeve Kids Wear - back view - kids wear Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/4_43.webp?v=1771244225,g,,,,,,
dad-me-red-white-2-piece-summer-set,,,,,,,,,6-years,,,,,,,,'10721142,0.5,shopify,101,deny,manual,999.00,,true,false,,,,,'10721142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/4_43.webp?v=1771244225,g,,,,,,
little-dino-boys-red-t-shirt-shorts-set,Little Dino Boys Red T-Shirt & Shorts Set,"<h4>Little Dino Boys Red T-Shirt &amp; Shorts Set</h4>
<p data-start=""335"" data-end=""429"">Let your little champ stand out in style with our <strong data-start=""385"" data-end=""423"">Little Dino 2-Piece Red Summer Set</strong>! 🦖❤️</p>
<p data-start=""431"" data-end=""644"">This vibrant red outfit includes a soft cotton t-shirt paired with matching shorts, designed for comfort, movement, and playful energy. The colorful dinosaur graphic adds a fun and adventurous vibe that kids love.</p>
<p data-start=""646"" data-end=""774"">Perfect for summer days, playdates, school, or family outings—this lightweight set keeps your child cool while looking trendy.</p>
<h3 data-start=""776"" data-end=""795"">✨ Key Features:</h3>
<ul data-start=""796"" data-end=""1058"">
<li data-start=""796"" data-end=""839"">
<p data-start=""798"" data-end=""839"">Premium soft &amp; breathable cotton fabric</p>
</li>
<li data-start=""840"" data-end=""867"">
<p data-start=""842"" data-end=""867"">Bright red summer color</p>
</li>
<li data-start=""868"" data-end=""904"">
<p data-start=""870"" data-end=""904"">Fun “Little Dino” dinosaur print</p>
</li>
<li data-start=""905"" data-end=""939"">
<p data-start=""907"" data-end=""939"">Comfortable round-neck t-shirt</p>
</li>
<li data-start=""940"" data-end=""981"">
<p data-start=""942"" data-end=""981"">Elastic waistband shorts for easy fit</p>
</li>
<li data-start=""982"" data-end=""1020"">
<p data-start=""984"" data-end=""1020"">Lightweight &amp; ideal for daily wear</p>
</li>
<li data-start=""1021"" data-end=""1058"">
<p data-start=""1023"" data-end=""1058"">Durable stitching for active kids</p>
</li>
</ul>
<p data-start=""1060"" data-end=""1111"">Pair it with sneakers for a sporty, confident look.</p>
<p data-start=""1113"" data-end=""1206"">🎯 Ideal for boys aged 2–6 years</p>",BBG FASHION CLOTHING STORE,Apparel & Accessories > Clothing > Outfit Sets,Kids Half Sleeves Twinset,"kids half sleeves, Premium Quality",false,Size,2-6-months,product.metafields.shopify.size,,,,,,,'10721129,0.5,shopify,100,deny,manual,999.00,,true,false,,,,,'10721129,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/4_36.webp?v=1771241342,1,Little Dino Boys Red T Shirt Shorts Set - front view - unisex wear Pakistan,false,,"Shop this vibrant red boys’ shorts set featuring a fun dinosaur print tee and matching shorts. Made from soft, breathable fabric for all-day comfort — perfect for playtime, outings, and summer wear.",7313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-6-months; 6-12; 13-14-months; 2-3-years; 3-4-years; 4-5-years; 6-years,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/4_36.webp?v=1771241342,g,,,true,,,draft
little-dino-boys-red-t-shirt-shorts-set,,,,,,,,,6-12,,,,,,,,'10721130,0.5,shopify,99,deny,manual,999.00,,true,false,,,,,'10721130,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/1_37.webp?v=1771241384,2,Little Dino Boys Red T Shirt Shorts Set - back view - unisex wear Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/4_36.webp?v=1771241342,g,,,,,,
little-dino-boys-red-t-shirt-shorts-set,,,,,,,,,13-14-months,,,,,,,,'10721131,0.5,shopify,99,deny,manual,999.00,,true,false,,,,,'10721131,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/2_39.webp?v=1771241383,3,Little Dino Boys Red T Shirt Shorts Set - side view - unisex wear Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/4_36.webp?v=1771241342,g,,,,,,
little-dino-boys-red-t-shirt-shorts-set,,,,,,,,,2-3-years,,,,,,,,'10721132,0.5,shopify,99,deny,manual,999.00,,true,false,,,,,'10721132,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/3_40.webp?v=1771241383,4,Little Dino Boys Red T Shirt Shorts Set - detail shot - unisex wear Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/4_36.webp?v=1771241342,g,,,,,,
little-dino-boys-red-t-shirt-shorts-set,,,,,,,,,3-4-years,,,,,,,,'10721133,0.5,shopify,97,deny,manual,999.00,,true,false,,,,,'10721133,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/5_36.webp?v=1771241383,5,Little Dino Boys Red T Shirt Shorts Set - front view - unisex wear Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/4_36.webp?v=1771241342,g,,,,,,
little-dino-boys-red-t-shirt-shorts-set,,,,,,,,,4-5-years,,,,,,,,'10721134,0.5,shopify,99,deny,manual,999.00,,true,false,,,,,'10721134,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/ChatGPT_Image_Mar_2_2026_08_02_23_PM.webp?v=1774966131,6,Yellow Grey Kids Short Sleeve Kids Wear - back view - kids wear Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/4_36.webp?v=1771241342,g,,,,,,
little-dino-boys-red-t-shirt-shorts-set,,,,,,,,,6-years,,,,,,,,'10721135,0.5,shopify,99,deny,manual,999.00,,true,false,,,,,'10721135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/2368/0740/files/4_36.webp?v=1771241342,g,,,,,,
